MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,ANO_SEP,MÊS_SEP
2021-12-01,OLEO DIESEL,9414,R$/l,5.347,0.27,4.07,6.986,0.05,2021,12
2022-01-01,ETANOL HIDRATADO,17662,R$/l,5.038,0.543,4.099,7.797,0.108,2022,1
2022-01-01,GASOLINA COMUM,19920,R$/l,6.635,0.368,5.489,8.029,0.055,2022,1
2022-01-01,OLEO DIESEL,9154,R$/l,5.497,0.295,4.07,6.905,0.054,2022,1
2022-02-01,ETANOL HIDRATADO,17522,R$/l,4.744,0.632,3.77,7.699,0.133,2022,2
2022-02-01,GASOLINA COMUM,20006,R$/l,6.6,0.383,5.579,7.999,0.058,2022,2
2022-02-01,OLEO DIESEL,9124,R$/l,5.592,0.272,4.349,6.985,0.049,2022,2
2022-03-01,ETANOL HIDRATADO,20371,R$/l,4.842,0.616,3.77,7.989,0.127,2022,3
2022-03-01,GASOLINA COMUM,23030,R$/l,7.012,0.505,5.19,8.949,0.072,2022,3
2022-03-01,OLEO DIESEL,10449,R$/l,6.288,0.546,4.599,7.98,0.087,2022,3
2022-04-01,ETANOL HIDRATADO,18369,R$/l,5.326,0.547,4.099,7.9,0.103,2022,4
2022-04-01,GASOLINA COMUM,20863,R$/l,7.245,0.407,6.099,8.599,0.056,2022,4
2022-04-01,OLEO DIESEL,9693,R$/l,6.602,0.313,4.999,7.979,0.047,2022,4
2022-05-01,ETANOL HIDRATADO,21399,R$/l,5.27,0.657,4.17,7.9,0.125,2022,5
2022-05-01,GASOLINA COMUM,24261,R$/l,7.28,0.426,6.18,8.99,0.059,2022,5
2022-05-01,OLEO DIESEL,11187,R$/l,6.84,0.384,5.49,8.69,0.056,2022,5
2022-06-01,ETANOL HIDRATADO,21499,R$/l,4.9,0.766,3.69,7.9,0.156,2022,6
2022-06-01,GASOLINA COMUM,24407,R$/l,7.25,0.474,5.58,8.99,0.065,2022,6
2022-06-01,OLEO DIESEL,11108,R$/l,7.2,0.494,5.64,8.99,0.069,2022,6
2022-07-01,ETANOL HIDRATADO,19372,R$/l,4.36,0.737,3.39,7.89,0.169,2022,7
2022-07-01,GASOLINA COMUM,21917,R$/l,6.05,0.491,4.92,8.52,0.081,2022,7
2022-07-01,OLEO DIESEL,9996,R$/l,7.46,0.309,5.69,9.0,0.041,2022,7
2022-08-01,ETANOL HIDRATADO,23455,R$/l,3.95,0.648,2.89,7.19,0.164,2022,8
2022-08-01,GASOLINA COMUM,26424,R$/l,5.39,0.356,4.13,8.75,0.066,2022,8
2022-08-01,OLEO DIESEL,11965,R$/l,7.1,0.379,6.24,8.99,0.053,2022,8
2022-09-01,ETANOL HIDRATADO,10699,R$/l,3.48,0.672,2.61,6.99,0.193,2022,9
2022-09-01,GASOLINA COMUM,12154,R$/l,5.0,0.349,4.15,7.09,0.07,2022,9
2022-09-01,OLEO DIESEL,5389,R$/l,6.85,0.341,3.14,8.89,0.05,2022,9
2022-10-01,ETANOL HIDRATADO,7713,R$/l,3.56,0.436,2.49,6.9,0.122,2022,10
2022-10-01,GASOLINA COMUM,8849,R$/l,4.89,0.279,3.49,7.34,0.057,2022,10
2022-10-01,OLEO DIESEL,3250,R$/l,6.56,0.336,4.6,8.52,0.051,2022,10
2022-11-01,ETANOL HIDRATADO,11631,R$/l,3.83,0.401,3.07,6.97,0.105,2022,11
2022-11-01,GASOLINA COMUM,13443,R$/l,5.04,0.293,4.09,7.54,0.058,2022,11
2022-11-01,OLEO DIESEL,5480,R$/l,6.58,0.327,5.09,8.52,0.05,2022,11
2022-12-01,ETANOL HIDRATADO,11662,R$/l,3.84,0.403,3.0,6.54,0.105,2022,12
2022-12-01,GASOLINA COMUM,13541,R$/l,4.97,0.299,4.09,7.69,0.06,2022,12
2022-12-01,OLEO DIESEL,5682,R$/l,6.36,0.372,4.62,8.52,0.058,2022,12
2023-01-01,ETANOL HIDRATADO,15382,R$/l,3.88,0.425,3.06,6.57,0.11,2023,1
2023-01-01,GASOLINA COMUM,17732,R$/l,5.05,0.324,4.09,8.19,0.064,2023,1
2023-01-01,OLEO DIESEL,7622,R$/l,6.33,0.37,4.89,7.99,0.058,2023,1
2023-02-01,ETANOL HIDRATADO,13792,R$/l,3.8,0.434,3.03,6.96,0.114,2023,2
2023-02-01,GASOLINA COMUM,16013,R$/l,5.09,0.335,4.09,7.0,0.066,2023,2
2023-02-01,OLEO DIESEL,7148,R$/l,6.06,0.425,4.89,7.99,0.07,2023,2
2023-03-01,ETANOL HIDRATADO,15959,R$/l,3.93,0.442,3.13,6.57,0.112,2023,3
2023-03-01,GASOLINA COMUM,18512,R$/l,5.52,0.355,4.23,7.19,0.064,2023,3
2023-03-01,OLEO DIESEL,8358,R$/l,5.88,0.396,4.59,7.69,0.067,2023,3
2023-04-01,ETANOL HIDRATADO,15133,R$/l,3.97,0.415,3.17,6.59,0.104,2023,4
2023-04-01,GASOLINA COMUM,17619,R$/l,5.51,0.359,4.34,7.35,0.065,2023,4
2023-04-01,OLEO DIESEL,8094,R$/l,5.76,0.391,4.76,7.69,0.068,2023,4
