MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,ANO_SEP,MÊS_SEP
2018-05-01,ETANOL HIDRATADO,18501,R$/l,2.811,0.474,2.079,4.799,0.169,2018,5
2018-05-01,GASOLINA COMUM,21203,R$/l,4.314,0.307,3.369,5.459,0.071,2018,5
2018-05-01,OLEO DIESEL,11820,R$/l,3.629,0.236,2.99,5.2,0.065,2018,5
2018-06-01,ETANOL HIDRATADO,19261,R$/l,2.933,0.426,2.179,4.947,0.145,2018,6
2018-06-01,GASOLINA COMUM,22757,R$/l,4.552,0.271,3.599,5.599,0.06,2018,6
2018-06-01,OLEO DIESEL,12229,R$/l,3.424,0.227,2.89,4.859,0.066,2018,6
2018-07-01,ETANOL HIDRATADO,22282,R$/l,2.785,0.489,1.99,4.947,0.176,2018,7
2018-07-01,GASOLINA COMUM,25523,R$/l,4.492,0.294,3.649,5.599,0.065,2018,7
2018-07-01,OLEO DIESEL,14131,R$/l,3.382,0.202,2.89,4.449,0.06,2018,7
2018-08-01,ETANOL HIDRATADO,23472,R$/l,2.656,0.514,1.895,4.799,0.194,2018,8
2018-08-01,GASOLINA COMUM,26503,R$/l,4.447,0.302,3.649,5.99,0.068,2018,8
2018-08-01,OLEO DIESEL,14356,R$/l,3.373,0.2,2.889,4.67,0.059,2018,8
2018-09-01,ETANOL HIDRATADO,20416,R$/l,2.798,0.451,1.949,4.8,0.161,2018,9
2018-09-01,GASOLINA COMUM,23112,R$/l,4.625,0.296,3.69,6.29,0.064,2018,9
2018-09-01,OLEO DIESEL,12565,R$/l,3.605,0.223,2.889,4.95,0.062,2018,9
2018-10-01,ETANOL HIDRATADO,24478,R$/l,2.934,0.405,2.299,4.8,0.138,2018,10
2018-10-01,GASOLINA COMUM,27682,R$/l,4.717,0.278,3.899,6.29,0.059,2018,10
2018-10-01,OLEO DIESEL,14974,R$/l,3.706,0.201,3.059,4.95,0.054,2018,10
2018-11-01,ETANOL HIDRATADO,21602,R$/l,2.917,0.411,2.259,4.799,0.141,2018,11
2018-11-01,GASOLINA COMUM,24409,R$/l,4.59,0.296,3.749,6.29,0.064,2018,11
2018-11-01,OLEO DIESEL,13003,R$/l,3.661,0.214,3.08,4.95,0.058,2018,11
2018-12-01,ETANOL HIDRATADO,20528,R$/l,2.828,0.428,2.149,4.98,0.151,2018,12
2018-12-01,GASOLINA COMUM,23221,R$/l,4.365,0.307,3.669,6.29,0.07,2018,12
2018-12-01,OLEO DIESEL,12397,R$/l,3.499,0.261,2.87,4.95,0.075,2018,12
2019-01-01,ETANOL HIDRATADO,25791,R$/l,2.812,0.446,2.179,4.949,0.159,2019,1
2019-01-01,GASOLINA COMUM,29056,R$/l,4.268,0.314,3.39,6.29,0.074,2019,1
2019-01-01,OLEO DIESEL,15552,R$/l,3.437,0.252,2.87,4.95,0.073,2019,1
2019-02-01,ETANOL HIDRATADO,20659,R$/l,2.783,0.456,2.129,4.949,0.164,2019,2
2019-02-01,GASOLINA COMUM,23251,R$/l,4.19,0.316,3.397,5.69,0.075,2019,2
2019-02-01,OLEO DIESEL,12444,R$/l,3.453,0.236,2.89,4.95,0.068,2019,2
2024-06-01,ETANOL HIDRATADO,16021,R$/l,3.82,0.466,2.89,5.99,0.122,2024,6
2024-06-01,GASOLINA COMUM,19016,R$/l,5.85,0.372,4.59,7.97,0.064,2024,6
2024-06-01,OLEO DIESEL,8629,R$/l,5.87,0.365,5.09,7.82,0.062,2024,6
2024-07-01,ETANOL HIDRATADO,17468,R$/l,4.02,0.471,2.99,6.06,0.117,2024,7
2024-07-01,GASOLINA COMUM,20530,R$/l,6.04,0.402,4.59,7.99,0.067,2024,7
2024-07-01,OLEO DIESEL,8726,R$/l,5.94,0.357,5.29,7.82,0.06,2024,7
2024-08-01,ETANOL HIDRATADO,14670,R$/l,4.06,0.462,3.29,6.14,0.114,2024,8
2024-08-01,GASOLINA COMUM,17279,R$/l,6.11,0.358,4.99,7.99,0.059,2024,8
2024-08-01,OLEO DIESEL,7445,R$/l,5.95,0.354,5.36,7.82,0.059,2024,8
2024-09-01,ETANOL HIDRATADO,16179,R$/l,4.05,0.464,3.19,6.06,0.114,2024,9
2024-09-01,GASOLINA COMUM,19177,R$/l,6.08,0.359,4.99,7.99,0.059,2024,9
2024-09-01,OLEO DIESEL,7996,R$/l,5.94,0.354,5.34,7.82,0.06,2024,9
2024-10-01,ETANOL HIDRATADO,15814,R$/l,4.04,0.463,3.09,6.06,0.115,2024,10
2024-10-01,GASOLINA COMUM,18706,R$/l,6.09,0.375,4.89,7.99,0.061,2024,10
2024-10-01,OLEO DIESEL,7928,R$/l,5.95,0.371,5.34,7.75,0.062,2024,10
2024-11-01,ETANOL HIDRATADO,13709,R$/l,4.05,0.446,3.19,7.35,0.11,2024,11
2024-11-01,GASOLINA COMUM,16172,R$/l,6.1,0.378,4.89,7.99,0.062,2024,11
2024-11-01,OLEO DIESEL,6728,R$/l,5.98,0.354,5.29,7.93,0.059,2024,11
2024-12-01,ETANOL HIDRATADO,15669,R$/l,4.11,0.432,3.19,6.59,0.105,2024,12
2024-12-01,GASOLINA COMUM,18631,R$/l,6.14,0.377,4.94,7.99,0.061,2024,12
2024-12-01,OLEO DIESEL,7764,R$/l,6.03,0.353,5.25,7.93,0.058,2024,12
2025-01-01,ETANOL HIDRATADO,14921,R$/l,4.21,0.424,3.29,6.16,0.101,2025,1
2025-01-01,GASOLINA COMUM,17793,R$/l,6.18,0.371,5.04,8.29,0.06,2025,1
2025-01-01,OLEO DIESEL,7463,R$/l,6.08,0.355,5.39,7.93,0.058,2025,1
2025-02-01,ETANOL HIDRATADO,14164,R$/l,4.38,0.431,3.39,6.49,0.098,2025,2
2025-02-01,GASOLINA COMUM,17015,R$/l,6.36,0.394,5.19,8.79,0.062,2025,2
2025-02-01,OLEO DIESEL,7060,R$/l,6.38,0.347,5.58,8.19,0.054,2025,2
2025-03-01,ETANOL HIDRATADO,16536,R$/l,4.35,0.435,3.25,6.49,0.1,2025,3
2025-03-01,GASOLINA COMUM,19844,R$/l,6.34,0.396,5.19,8.79,0.062,2025,3
2025-03-01,OLEO DIESEL,8152,R$/l,6.35,0.346,5.47,8.33,0.054,2025,3
2025-04-01,ETANOL HIDRATADO,15895,R$/l,4.31,0.461,3.38,6.68,0.107,2025,4
2025-04-01,GASOLINA COMUM,19037,R$/l,6.32,0.405,5.19,8.99,0.064,2025,4
2025-04-01,OLEO DIESEL,7962,R$/l,6.22,0.375,5.49,8.33,0.06,2025,4
2025-05-01,ETANOL HIDRATADO,14990,R$/l,4.29,0.47,3.35,6.89,0.11,2025,5
2025-05-01,GASOLINA COMUM,18007,R$/l,6.28,0.412,5.15,8.99,0.066,2025,5
2025-05-01,OLEO DIESEL,7475,R$/l,6.06,0.407,5.29,8.33,0.067,2025,5
2025-06-01,ETANOL HIDRATADO,16092,R$/l,4.2,0.497,3.19,6.49,0.118,2025,6
2025-06-01,GASOLINA COMUM,19122,R$/l,6.23,0.419,4.99,8.99,0.067,2025,6
2025-06-01,OLEO DIESEL,7659,R$/l,5.97,0.401,5.29,8.19,0.067,2025,6
2025-07-01,ETANOL HIDRATADO,14455,R$/l,4.16,0.517,3.09,6.49,0.124,2025,7
2025-07-01,GASOLINA COMUM,17232,R$/l,6.21,0.429,4.99,8.99,0.069,2025,7
2025-07-01,OLEO DIESEL,6911,R$/l,5.97,0.406,5.24,8.19,0.068,2025,7
