MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,ANO_SEP,MÊS_SEP
2025-03-01,ETANOL HIDRATADO,16536,R$/l,4.35,0.435,3.25,6.49,0.1,2025,3
2025-03-01,GASOLINA COMUM,19844,R$/l,6.34,0.396,5.19,8.79,0.062,2025,3
2025-03-01,OLEO DIESEL,8152,R$/l,6.35,0.346,5.47,8.33,0.054,2025,3
2025-04-01,ETANOL HIDRATADO,15895,R$/l,4.31,0.461,3.38,6.68,0.107,2025,4
2025-04-01,GASOLINA COMUM,19037,R$/l,6.32,0.405,5.19,8.99,0.064,2025,4
2025-04-01,OLEO DIESEL,7962,R$/l,6.22,0.375,5.49,8.33,0.06,2025,4
2025-05-01,ETANOL HIDRATADO,14990,R$/l,4.29,0.47,3.35,6.89,0.11,2025,5
2025-05-01,GASOLINA COMUM,18007,R$/l,6.28,0.412,5.15,8.99,0.066,2025,5
2025-05-01,OLEO DIESEL,7475,R$/l,6.06,0.407,5.29,8.33,0.067,2025,5
2025-06-01,ETANOL HIDRATADO,16092,R$/l,4.2,0.497,3.19,6.49,0.118,2025,6
2025-06-01,GASOLINA COMUM,19122,R$/l,6.23,0.419,4.99,8.99,0.067,2025,6
2025-06-01,OLEO DIESEL,7659,R$/l,5.97,0.401,5.29,8.19,0.067,2025,6
2025-07-01,ETANOL HIDRATADO,14455,R$/l,4.16,0.517,3.09,6.49,0.124,2025,7
2025-07-01,GASOLINA COMUM,17232,R$/l,6.21,0.429,4.99,8.99,0.069,2025,7
2025-07-01,OLEO DIESEL,6911,R$/l,5.97,0.406,5.24,8.19,0.068,2025,7
