MÊS_SEP,ANO_SEP,ETANOL HIDRATADO,GASOLINA COMUM,OLEO DIESEL,RAZAO_ETANOL_GASOLINA,% RAZAO ETANOL_GASOLINA
5,2024,3.82,5.86,5.88,0.651877133105802,65.1877133105802
5,2025,4.29,6.28,6.06,0.6831210191082803,68.31210191082803
6,2013,1.943,2.848,2.333,0.6822331460674158,68.22331460674158
6,2014,2.071,2.966,2.5,0.6982467970330412,69.82467970330411
6,2015,2.112,3.301,2.807,0.6398061193577703,63.980611935777034
6,2016,2.466,3.646,3.015,0.6763576522216128,67.63576522216128
6,2017,2.485,3.548,2.985,0.7003945885005637,70.03945885005636
6,2018,2.933,4.552,3.424,0.6443321616871704,64.43321616871704
6,2019,2.819,4.468,3.608,0.6309310653536258,63.09310653536257
6,2020,2.655,3.964,3.064,0.6697780020181634,66.97780020181634
6,2021,4.358,5.687,4.505,0.7663091260770176,76.63091260770176
6,2022,4.9,7.25,7.2,0.6758620689655173,67.58620689655173
6,2023,3.76,5.38,5.02,0.6988847583643123,69.88847583643123
6,2024,3.82,5.85,5.87,0.652991452991453,65.2991452991453
6,2025,4.2,6.23,5.97,0.6741573033707865,67.41573033707866
7,2013,1.918,2.839,2.333,0.675589996477633,67.5589996477633
7,2014,2.042,2.957,2.499,0.6905647615826851,69.05647615826851
7,2015,2.081,3.296,2.805,0.631371359223301,63.1371359223301
7,2016,2.434,3.638,3.013,0.669048927982408,66.9048927982408
7,2017,2.46,3.553,2.971,0.6923726428370391,69.23726428370391
7,2018,2.785,4.492,3.382,0.6199910952804987,61.999109528049864
7,2019,2.776,4.351,3.543,0.6380142495977935,63.801424959779354
7,2020,2.739,4.144,3.249,0.6609555984555984,66.09555984555983
7,2021,4.318,5.807,4.589,0.7435853280523504,74.35853280523504
7,2022,4.36,6.05,7.46,0.7206611570247935,72.06611570247935
7,2023,3.79,5.61,4.94,0.6755793226381461,67.5579322638146
7,2024,4.02,6.04,5.94,0.6655629139072847,66.55629139072848
7,2025,4.16,6.21,5.97,0.6698872785829307,66.98872785829307
8,2013,1.902,2.835,2.331,0.6708994708994709,67.08994708994709
8,2014,2.034,2.96,2.501,0.6871621621621621,68.71621621621621
8,2015,2.061,3.295,2.805,0.6254931714719272,62.54931714719272
8,2016,2.485,3.651,3.01,0.6806354423445632,68.06354423445632
8,2017,2.611,3.781,3.102,0.6905580534250199,69.05580534250198
8,2018,2.656,4.447,3.373,0.5972565774679559,59.72565774679559
8,2019,2.829,4.316,3.524,0.6554680259499537,65.54680259499537
8,2020,2.768,4.237,3.358,0.6532924238848241,65.32924238848241
8,2021,4.476,5.933,4.611,0.7544244058654981,75.44244058654981
8,2022,3.95,5.39,7.1,0.7328385899814472,73.28385899814472
8,2023,3.63,5.71,5.51,0.6357267950963222,63.57267950963222
8,2024,4.06,6.11,5.95,0.6644844517184941,66.44844517184941
9,2013,1.895,2.834,2.331,0.6686661961891319,66.86661961891319
9,2014,2.005,2.963,2.501,0.676679041511981,67.6679041511981
9,2015,2.074,3.277,2.809,0.632895941409826,63.289594140982594
9,2016,2.51,3.648,3.009,0.688048245614035,68.80482456140349
9,2017,2.633,3.881,3.173,0.6784333934552951,67.8433393455295
9,2018,2.798,4.625,3.605,0.604972972972973,60.4972972972973
9,2019,2.851,4.326,3.592,0.6590383726306057,65.90383726306057
9,2021,4.698,6.078,4.728,0.7729516288252715,77.29516288252715
9,2022,3.48,5.0,6.85,0.696,69.6
9,2023,3.64,5.83,6.08,0.6243567753001715,62.43567753001715
9,2024,4.05,6.08,5.94,0.6661184210526315,66.61184210526315
10,2013,1.914,2.834,2.332,0.6753705010585744,67.53705010585745
10,2014,1.999,2.96,2.5,0.6753378378378379,67.53378378378379
10,2015,2.365,3.48,2.925,0.6795977011494253,67.95977011494253
10,2016,2.676,3.662,3.009,0.7307482250136538,73.07482250136538
10,2017,2.668,3.895,3.223,0.6849807445442876,68.49807445442876
10,2018,2.934,4.717,3.706,0.6220055119779522,62.20055119779522
10,2019,2.906,4.38,3.705,0.6634703196347033,66.34703196347033
10,2020,3.006,4.358,3.454,0.6897659476824232,68.97659476824232
10,2021,4.883,6.341,5.033,0.7700678126478473,77.00678126478473
10,2022,3.56,4.89,6.56,0.7280163599182005,72.80163599182005
10,2023,3.6,5.73,6.08,0.6282722513089005,62.82722513089005
10,2024,4.04,6.09,5.95,0.6633825944170771,66.33825944170772
11,2013,1.932,2.841,2.332,0.6800422386483632,68.00422386483632
11,2014,2.016,3.009,2.564,0.6699900299102692,66.99900299102693
11,2015,2.578,3.576,2.965,0.7209172259507829,72.0917225950783
11,2016,2.812,3.671,2.993,0.766003813674748,76.6003813674748
11,2017,2.79,4.004,3.29,0.6968031968031969,69.68031968031968
11,2018,2.917,4.59,3.661,0.6355119825708061,63.55119825708061
11,2019,2.974,4.413,3.713,0.6739179696351688,67.39179696351688
11,2020,3.103,4.406,3.514,0.7042669087607808,70.42669087607808
11,2021,5.37,6.744,5.359,0.7962633451957296,79.62633451957296
11,2022,3.83,5.04,6.58,0.7599206349206349,75.9920634920635
11,2023,3.56,5.63,6.08,0.6323268206039077,63.232682060390765
11,2024,4.05,6.1,5.98,0.6639344262295082,66.39344262295081
12,2013,2.022,2.946,2.466,0.6863543788187372,68.63543788187371
12,2014,2.041,3.031,2.606,0.673375123721544,67.33751237215439
12,2015,2.659,3.633,2.985,0.7319020093586567,73.19020093586566
12,2016,2.831,3.734,3.024,0.758168184252812,75.8168184252812
12,2017,2.879,4.085,3.323,0.7047735618115055,70.47735618115055
12,2018,2.828,4.365,3.499,0.6478808705612829,64.78808705612829
12,2019,3.125,4.531,3.737,0.689693224453763,68.9693224453763
12,2020,3.179,4.483,3.606,0.7091233548962749,70.91233548962748
12,2021,5.141,6.67,5.347,0.7707646176911545,77.07646176911544
12,2022,3.84,4.97,6.36,0.7726358148893361,77.26358148893361
12,2023,3.48,5.6,5.92,0.6214285714285714,62.142857142857146
12,2024,4.11,6.14,6.03,0.6693811074918568,66.93811074918568
